University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,12_M_Gross_Pay,9_M_Gross_Pay,3_M_Gross_Pay,Fees
Johns Hopkins University (JHU),Political Science,28500,1.11,2017-2018,1st,29000,,,500
Johns Hopkins University (JHU),Political Science,29000,1.13,2016-2017,1st,29000,,,
Johns Hopkins University (JHU),Biochemistry,30200,1.17,2016-2017,1st,31000,,,800
Johns Hopkins University (JHU),Human Genetics,31006,1.21,2016-2017,5th,31006,,,
Johns Hopkins University (JHU),Sociology,23500,0.91,2016-2017,6th and up,,23500,,
Johns Hopkins University (JHU),International Health,,0,2016-2017,3rd,,,,
Johns Hopkins University (JHU),Pharmacology ,31000,1.21,2016-2017,1st,31000,,,
Johns Hopkins University (JHU),biomedical engineering,31000,1.21,2016-2017,1st,31000,,,
Johns Hopkins University (JHU),Biomedical Engineeirng,32000,1.24,2016-2017,5th,32000,,,
Johns Hopkins University (JHU),Neuroscience ,31000,1.21,2016-2017,,31000,,,
Johns Hopkins University (JHU),ECE,28000,1.09,2016-2017,1st,28000,,,
Johns Hopkins University (JHU),Sociology,28500,1.11,2016-2017,1st,28500,,,
Johns Hopkins University (JHU),Political Science,28000,1.09,2016-2017,1st,28500,,,500
Johns Hopkins University (JHU),Anthropology,28500,1.11,2016-2017,1st,28500,,,
Johns Hopkins University (JHU),bcmb,30500,1.19,2016-2017,1st,30500,,,
Johns Hopkins University (JHU),Anthropology,27000,1.05,2015-2016,3rd,,23000,4000,
Johns Hopkins University (JHU),Education,30000,1.17,2016-2017,,30000,,,
Johns Hopkins University (JHU),Mechanical Engineering,29750,1.16,2016-2017,1st,29750,,,
Johns Hopkins University (JHU),English,30000,1.17,2015-2016,1st,30000,,,
Johns Hopkins University (JHU),International Health,,0,2015-2016,1st,,,,
Johns Hopkins University (JHU),Chemical and Biomolecular Engineering,29000,1.13,2015-2016,1st,30800,,,1800
Johns Hopkins University (JHU),Sociology,28800,1.12,2015-2016,,28800,,,
Johns Hopkins University (JHU),Neuroscience,29000,1.24,2013-2014,1st,29000,,,
Johns Hopkins University (JHU),Civil Engineering,25000,1.07,2014-2015,,25000,,,
Johns Hopkins University (JHU),Economics,23000,0.98,2014-2015,6th and up,,23000,,
Johns Hopkins University (JHU),Economics,23000,0.98,2014-2015,5th,,23000,,
Kansas State University (K-State),Modern Languaged,12300,0.56,2023-2024,1st,,14000,,1700
Kansas State University (K-State),Chemical Engineering,33800,1.53,2022-2023,3rd,34000,,,200
Kansas State University (K-State),Physics,21000,0.95,2022-2023,2nd,21000,,,
Kansas State University (K-State),Biology ,35000,1.58,2022-2023,1st,,35000,,
Kansas State University (K-State),Biology ,35000,1.58,2022-2023,1st,,35000,,
Kansas State University (K-State),Biology ,27000,1.22,2022-2023,3rd,27500,,,500
Kansas State University (K-State),Biochemistry,23000,1.04,2022-2023,2nd,23000,,,
Kansas State University (K-State),Entomology,25000,1.13,2020-2021,5th,25000,,,
Kansas State University (K-State),Animal Sciences and Industry,18000,0.81,2022-2023,,19000,,,1000
Kansas State University (K-State),Geology,18000,0.81,2021-2022,1st,,18000,,
Kansas State University (K-State),Biology,26750,1.21,2021-2022,1st,27300,,,550
Kansas State University (K-State),Chemistry,24500,1.11,2017-2018,1st,27000,,,2500
Kansas State University (K-State),Geography and Geospatial Sciences,14500,0.66,2021-2022,1st,,14500,,
Kansas State University (K-State),Agricultural Economics,23800,1.08,2020-2021,1st,23800,,,
Kansas State University (K-State),Civil Engineering,24000,1.09,2020-2021,,24000,,,
Kansas State University (K-State),Genetics,24500,1.11,2017-2018,5th,26000,,,1500
Kansas State University (K-State),Communication Studies,785,0.04,2018-2019,2nd,785,,,
Kansas State University (K-State),Sensory Science,18980,0.86,2019-2020,1st,18980,,,
Kansas State University (K-State),Sensory Science,18980,0.86,2019-2020,1st,,18980,,
Kansas State University (K-State),Biology,34000,1.54,2017-2018,2nd,34000,,,
Kansas State University (K-State),Physics,18000,0.81,2016-2017,,18000,,,
Kansas State University (K-State),Horticulture,25000,1.13,2017-2018,1st,25000,,,
Kansas State University (K-State),Kinesiology,15000,0.68,2016-2017,1st,,15000,,
Kansas State University (K-State),Psychological Sciences,15362,0.7,2016-2017,4th,,16000,,638
Kansas State University (K-State),Computer Science,11700,0.53,2017-2018,1st,,11700,,
Kansas State University (K-State),Veterinary Pathobiology & Diagnostic Medicine,680,0.04,2007-2008,1st,1350,,,670
karlsruhe institute of technology,Chemistry ,1630,,2015-2016,3rd,,1780,1550,1700
Kaust,Chemical engineering,30000,,2020-2021,2nd,30000,,,
KAUST,Computer Science,30000,,2016-2017,1st,30000,,,
Keck Graduate Institute,Applied Life Sciences,30000,,2023-2024,,30000,,,
keiser university,athletic,10000,,2022-2023,1st,,10000,,
Kennesaw State University,School of Data Science ,36000,,2022-2023,3rd,36000,,,
Kennesaw State University,Computer Science,24000,,2021-2022,1st,24000,,,
Kent State University (KSU),Philosophy,15500,0.78,2024-2025,2nd,,15500,,
Kent State University (KSU),Biomedical Sciences,26000,1.31,2023-2024,1st,26000,,,
Kent State University (KSU),Sociology ,18000,0.91,2022-2023,3rd,,18000,,
Kent State University (KSU),,1800,0.09,2020-2021,5th,,1800,,
Kent State University (KSU),Biological sciences,8000,0.4,2020-2021,1st,23000,,,15000
Kent State University (KSU),Engineering,24000,1.21,2021-2022,1st,24000,,,
Kent State University (KSU),Psychological Sciences,19990,1.01,2021-2022,4th,20000,,,10
Kent State University (KSU),Biological Sciences,23000,1.16,2021-2022,3rd,23000,,,
Kent State University (KSU),Sociology,22000,1.11,2020-2021,3rd,,20000,2000,
Kent State University (KSU),CS ,21000,1.06,2020-2021,,,21000,,
Kent State University (KSU),Biological Sciences ,24000,1.21,2020-2021,4th,24000,,,
Kent State University (KSU),Biological Sciences ,24000,1.21,2020-2021,4th,24000,,,
Kent State University (KSU),History,14000,0.71,2020-2021,1st,,14000,,
Kent State University (KSU),Health Education and Promotion,12000,0.61,2020-2021,,,12000,,
Kent State University (KSU),Sociology,18000,0.91,2020-2021,1st,,18000,,
Kent State University (KSU),Biological Sciences,23000,1.16,2020-2021,,23000,,,
Kent State University (KSU),College of communication and Information,15000,0.76,2015-2016,,,15000,,
Kent State University (KSU),sociology,14500,0.73,2015-2016,3rd,,14500,,
Kent State University (KSU),Computer Science,15000,0.76,2016-2017,2nd,15000,,,
Kent State University (KSU),English,15000,0.76,2016-2017,,15000,,,
Kent State University (KSU),Sociology,15500,0.78,2016-2017,1st,,15500,,
khalifa university ,petroleum,30000,,2016-2017,1st,30000,,,
King Abdullah University of Science and Technology,BESE,30000,,2022-2023,2nd,30000,,,
King Abdullah University of Science and Technology,Red Sea Research Center ,30000,,2019-2020,2nd,30000,,,
King Fahd University of Petroleum and Minerals,Chemical Engineering Department ,237,,2018-2019,2nd,237,,,
King's College London,Wellcome Trust PhD  Regenerative Medicine,32000,,2020-2021,1st,32000,,,
Konkuk University,Chemical Engineering,3523,,2018-2019,1st,8523,,,5000
KTH Royal Institute of Technology,All departments and engineering programs,34172,,2021-2022,1st,34172,,,
KTH Royal Institute of Technology,Theoretical computational biophysics,31300,,2015-2016,5th,41000,,,9700
KU Leuven,Economics,33000,,2018-2019,4th,33000,,,
KU Leuven,Chemistry,27959,,2019-2020,1st,28511,,,552
Lamar University,Chemical Engineering,15900,0.78,2018-2019,1st,18000,,,2100
Lamar University,Chemical engineering ,16800,0.82,2016-2017,1st,18000,,,1200
Laval university,Forestry ,18000,,2019-2020,3rd,21000,,,3000
Lehigh University,Civil and Environmental Engineering ,34000,1.52,2024-2025,,34000,,,
Lehigh University,Chemical and Biomolecular Engineering,33360,1.49,2023-2024,3rd,33570,,,210
Lehigh University,Economics,26000,1.16,2024-2025,1st,,26000,,
Lehigh University,Bioengineering,30300,1.35,2022-2023,4th,33000,,,2700
Lehigh University,Electrical engineering ,22000,0.98,2019-2020,4th,22000,,,
Lehigh University,Bioengineering,33900,1.52,2022-2023,2nd,34000,,,100
Lehigh University,Civil ,30000,1.34,2022-2023,1st,30000,,,
Lehigh University,Mechanical Engineering and Mechanics,30600,1.37,2022-2023,3rd,30600,,,
Lehigh University,Computer Science PhD,28800,1.29,2022-2023,1st,30000,,,1200
Lehigh University,Biological Sciences,29000,1.3,2020-2021,1st,29000,,,
Lehigh University,Materials Science,34300,1.53,2020-2021,1st,34500,,,200
Lehigh University,Chemistry,31500,1.41,2020-2021,2nd,,25000,6500,
Lehigh University,bioengineering,30000,1.34,2020-2021,1st,30000,,,
Lehigh University,Chemical and Biomolecular Engineering,30000,1.34,2020-2021,,30000,,,
Lehigh University,ECE,30000,1.34,2020-2021,2nd,32000,,,2000
Lehigh university,Physics,30000,,2020-2021,1st,30000,,,
Lehigh University,Chemical and Biological Engineering ,2450,0.11,2020-2021,1st,2450,,,
Lehigh University,Biological sciences ,25000,1.12,2018-2019,5th,25000,,,
Lehigh University,Education ,15000,0.67,2018-2019,3rd,,15000,,
Lehigh University,Psychology,34000,1.52,2017-2018,1st,34000,,,
Lehigh University,Physics,28300,1.27,2016-2017,,28800,,,500
Lehigh University,English ,21000,0.94,2016-2017,6th and up,,21000,,
Lehigh University,Computer Science,22050,0.99,2017-2018,1st,,22050,,
Lehigh University,Counseling Psychology,7000,0.31,2017-2018,1st,7000,,,
Lehigh University,industrial engineering,27140,1.21,2016-2017,1st,28140,,,1000
Lehigh University,English,20000,0.89,2016-2017,1st,,20000,,
Lehigh University,English,19700,0.88,2016-2017,,19700,,,
Lehigh University,Earth and Environmental Sciences,27000,1.21,2016-2017,1st,27000,,,
Lehigh University,BioS,23000,1.03,2016-2017,2nd,23000,,,
Leibniz Universitat Hannover,TNT/Computer Science,55900,,2020-2021,2nd,56800,,,900
Leipzig University ,Computer science ,1100,,2017-2018,4th,1300,,,200
Leipzig University ,Computer science ,1100,,2017-2018,3rd,1300,,,200
Leipzig University ,Computer science ,1100,,2016-2017,2nd,1300,,,200
Leipzig University ,Computer science ,1100,,2015-2016,1st,1300,,,200
Leuphana University,Political science ,17400,,2018-2019,3rd,18000,,,600
Lingnan University,Sociology/Social Policy,27953,,2022-2023,1st,27953,,,
Loma Lind University,,10000,,2023-2024,1st,10000,,,
Loma Linda University,Clinical Psychology,10000,,2023-2024,1st,10000,,,
Loma Linda University,Neuroscience Systems Biology and Bioengineering,25000,,2021-2022,2nd,25000,,,
Loma Linda University,Integrated Biomedical Graduate Studies ,24000,,2022-2023,1st,25000,,,1000
Loma Linda university,Basic sciences,25000,,2020-2021,5th,25000,,,
Loma Linda University,Earth and Biological Sciences,14800,,2018-2019,2nd,18000,,,3200
Loma Linda University,Basic Sciences,25000,,2015-2016,3rd,25000,,,
Loma Linda University,Basic Sciences,22500,,2015-2016,1st,22500,,,
London School of Economics,Psychological and Behavioural Science,23500,,2022-2023,2nd,23500,,,
London School of Economics,Media and Communications,792,,2017-2018,1st,18000,,,17208
Long Island University,Pharmaceutical Sciences,5150,,2016-2017,2nd,6000,,,850
Louisiana State University - Baton Rouge,Mathematics,30500,1.4,2024-2025,4th,,24500,6000,
Louisiana State University - Baton Rouge,Civil and Environmental Engineering ,27667,1.27,2023-2024,2nd,30667,,,3000
Louisiana State University - Baton Rouge,Chemical Engineering,30667,1.41,2024-2025,1st,30667,,,
Louisiana State University - Baton Rouge,Chemical Engineering,30667,1.41,2023-2024,1st,30667,,,
Louisiana State University - Baton Rouge,Mathematics,29800,1.37,2023-2024,2nd,,25300,6000,1500
Louisiana State University - Baton Rouge,Civil and Environmental Engineering,17000,0.78,2024-2025,1st,17000,,,
Louisiana State University - Baton Rouge,Physics and Astronomy,30036,1.38,2023-2024,1st,,26000,6000,1964
Louisiana State University - Baton Rouge,Experimental Music and Digital Media ,12000,0.55,2023-2024,1st,,12000,,
Louisiana State University - Baton Rouge,Civil engineering ,17650,0.81,2023-2024,1st,18000,,,350
Louisiana State University - Baton Rouge,Civil Engineering,17500,0.81,2022-2023,3rd,22000,,,4500
Louisiana State University - Baton Rouge,Political Science,23000,1.06,2023-2024,1st,,23000,,
Louisiana State University - Baton Rouge,Mechanical,22000,1.01,2023-2024,1st,22000,,,
Louisiana State University - Baton Rouge,Political Science,23000,1.06,2023-2024,1st,,23000,,
Louisiana State University - Baton Rouge,entrepreneurship,29624,1.36,2023-2024,1st,30667,,,1043
Louisiana State University - Baton Rouge,Physics & Astronomy,23774,1.09,2022-2023,3rd,25000,,,1226
Louisiana State University - Baton Rouge,Biological Sciences,20416,0.94,2022-2023,3rd,21400,,,984
Louisiana State University - Baton Rouge,Oceanography and Coastal Sciences,22000,1.01,2019-2020,6th and up,24000,,,2000
Louisiana State University - Baton Rouge,Civil Engineering,19200,0.88,2021-2022,1st,19200,,,
Louisiana State University - Baton Rouge,Civil Engineering,22000,1.01,2021-2022,1st,22000,,,
Louisiana State University - Baton Rouge,Civil Engineering,20666,0.95,2022-2023,3rd,20666,,,
Louisiana State University - Baton Rouge,Chemical Engineering ,28500,1.31,2020-2021,1st,28500,,,
Louisiana State University - Baton Rouge,Chemical Engineering ,26500,1.22,2020-2021,1st,28500,,,2000
Louisiana State University - Baton Rouge,Sociology,12051,0.55,2020-2021,4th,,15051,,3000
Louisiana State University - Baton Rouge,Mass Communication,26100,1.2,2018-2019,4th,,25000,1100,
Louisiana State University - Baton Rouge,Physics and Astronomy ,20000,0.92,2020-2021,1st,24000,,,4000
Louisiana State University - Baton Rouge,Psychology,20000,0.92,2019-2020,4th,20000,,,
Louisiana State University - Baton Rouge,Political science ,14300,0.66,2021-2022,4th,,15600,,1300
Louisiana State University - Baton Rouge,Renewable Natural Resources,20422,0.94,2020-2021,6th and up,24000,,,3578
Louisiana State University - Baton Rouge,Kinesiology ,13900,0.64,2021-2022,1st,,15000,,1100
Louisiana State University - Baton Rouge,Pathobiological science/ PhD,23040,1.06,2020-2021,,24123,,,1083
Louisiana State University - Baton Rouge,Entomology,1833,0.08,2020-2021,,1833,,,
Louisiana State University - Baton Rouge,Construction Management ,14400,0.66,2020-2021,1st,14400,,,
Louisiana State University - Baton Rouge,Civil engineering ,17000,0.78,2020-2021,1st,17000,,,
Louisiana State University - Baton Rouge,Civil Engineering ,15700,0.72,2021-2022,1st,17000,,,1300
Louisiana State University - Baton Rouge,Construction Management ,9500,0.44,2021-2022,1st,,10800,,1300
Louisiana State University - Baton Rouge,Mechanical Engineering,16400,0.76,2021-2022,3rd,,18000,,1600
Louisiana State University - Baton Rouge,Biology,15500,0.71,2020-2021,3rd,20000,,,4500
Louisiana State University - Baton Rouge,Communication Studies,15050,0.69,2020-2021,1st,,15050,,
Louisiana State University - Baton Rouge,Chemical Engineering,25000,1.15,2020-2021,1st,25000,,,
Louisiana State University - Baton Rouge,Agricultural Economics,17350,0.8,2020-2021,4th,22000,,,4650
Louisiana State University - Baton Rouge,Geography,11450,0.53,2019-2020,1st,,15050,,3600
Louisiana State University - Baton Rouge,Doctor of Design,12619,0.58,2019-2020,1st,,14000,,1381
Louisiana State University - Baton Rouge,Math,22464,1.03,2018-2019,5th,,21350,6000,4886
Louisiana State University - Baton Rouge,Chemistry,17400,0.8,2018-2019,3rd,25200,,,7800
Louisiana State University - Baton Rouge,Music Theory,15000,0.69,2018-2019,4th,,18000,,3000
Louisiana State University - Baton Rouge,Comparative biomedical sciences,17500,0.81,2016-2017,4th,21000,,,3500
Louisiana State University - Baton Rouge,Gender studies,15000,0.69,2019-2020,1st,,15000,,
Louisiana State University - Baton Rouge,Renewable Natural Resources,20112,0.93,2018-2019,4th,25000,,,4888
Louisiana State University - Baton Rouge,Psychology,17500,0.81,2018-2019,3rd,20000,,,2500
Louisiana State University - Baton Rouge,,23000,1.06,2018-2019,,25000,,,2000
Louisiana State University - Baton Rouge,English ,14250,0.66,2018-2019,1st,17750,,,3500
Louisiana State University - Baton Rouge,English ,14750,0.68,2018-2019,,17750,,,3000
Louisiana State University - Baton Rouge,Biology,19000,0.88,2018-2019,5th,23000,,,4000
Louisiana State University - Baton Rouge,french,19000,0.88,2017-2018,1st,,20000,,1000
Louisiana State University - Baton Rouge,Geography,15000,0.69,2018-2019,1st,15000,,,
Louisiana State University - Baton Rouge,Soil Science,17500,0.81,2018-2019,1st,24000,,,6500
Louisiana State University - Baton Rouge,English,14800,0.68,2017-2018,1st,,17800,,3000
Louisiana State University - Baton Rouge,Biological Sciences,30000,1.38,2017-2018,1st,30000,,,
Louisiana State University - Baton Rouge,Oceanography and Coastal Sciences ,22000,1.01,2017-2018,3rd,24000,,,2000
Louisiana State University - Baton Rouge,Biological Sciences,18500,0.85,2017-2018,4th,22000,,,3500
Louisiana State University - Baton Rouge,Clinical psychology ,18000,0.83,2017-2018,2nd,19000,,,1000
Louisiana State University - Baton Rouge,Finance,17200,0.79,2017-2018,1st,,21000,,3800
Louisiana State University - Baton Rouge,management information systems,20600,0.95,2017-2018,1st,,20600,,
Louisiana State University - Baton Rouge,Chemical Engineering,22100,1.02,2017-2018,1st,25100,,,3000
Louisiana State University - Baton Rouge,Political Science,14000,0.64,2016-2017,,,14000,,
Louisiana State University - Baton Rouge,French Studies,22000,1.01,2016-2017,,22000,,,
Louisiana State University - Baton Rouge,English,17000,0.78,2016-2017,,17000,,,
Louisiana State University - Baton Rouge,biology,19300,0.89,2015-2016,4th,22000,,,2700
Louisiana State University - Baton Rouge,Geology,16500,0.76,2016-2017,,,16500,,
Louisiana State University - Baton Rouge,Civil Engineering,20700,1.04,2014-2015,5th,25000,,,4300
Louisiana State University - Baton Rouge,chemical engineering,23600,1.19,2014-2015,6th and up,23600,,,
Louisiana State University School of Medicine - New Orleans,Pharmacology,30000,1.3,2023-2024,5th,30000,,,
Louisiana State University School of Medicine - New Orleans,Physiology,26250,1.14,2020-2021,5th,28000,,,1750
Louisiana State University School of Medicine - New Orleans,Public Health,18000,0.78,2020-2021,,,18000,,
Louisiana State University School of Medicine - New Orleans,Cell Biology and Anatomy ,22700,0.99,2018-2019,3rd,24000,,,1300
Louisiana State University School of Medicine - New Orleans,Physiology,22800,0.99,2016-2017,4th,24000,,,1200
Louisiana State University School of Medicine - New Orleans,Genetics,23400,1.02,2016-2017,5th,24000,,,600
Louisiana State University School of Medicine - Shreveport,Oceanography and Coastal Sciences,18200,0.84,2021-2022,2nd,21000,,,2800
Louisiana State University School of Medicine - Shreveport,Microbiology and Immunology,26000,1.2,2018-2019,,26000,,,
Louisiana State University School of Medicine - Shreveport,Cell Biology and Anatomy,23800,1.29,2009-2010,4th,24000,,,200
Louisiana State University School of Medicine - Shreveport,Cell Biology and Anatomy,23800,1.29,2008-2009,3rd,24000,,,200
Louisiana State University School of Medicine - Shreveport,Cell Biology and Anatomy,21800,1.18,2007-2008,2nd,22000,,,200
Louisiana State University School of Medicine - Shreveport,Cell Biology and Anatomy,18800,1.02,2006-2007,1st,19000,,,200
Louisiana Tech University (LA Tech),Biomedical Engineerin,1500,0.07,2023-2024,1st,1500,,,
Louisiana Tech University (LA Tech),MECHANICAL ENGINEERING,486,0.02,2022-2023,1st,28311,,,27825
Louisiana Tech University (LA Tech),Biology,13500,0.6,2021-2022,1st,,13500,,
Loyola University Chicago (LUC),Psychology,26605,1.1,2024-2025,3rd,,28000,,1395
Loyola University Chicago (LUC),Psychology,28000,1.15,2023-2024,1st,28000,,,
Loyola University Chicago (LUC),Chemistry PhD,30200,1.24,2023-2024,6th and up,,28000,2200,
Loyola University Chicago (LUC),Chemistry PhD,30200,1.24,2023-2024,6th and up,,28000,2200,
Loyola University Chicago (LUC),Counseling Psychology,28000,1.15,2022-2023,1st,,28000,,
Loyola University Chicago (LUC),Counseling Psychology,28000,1.15,2022-2023,1st,,28000,,
Loyola University Chicago (LUC),Philosophy,27450,1.13,2022-2023,1st,,28000,,550
Loyola University Chicago (LUC),English ,27000,1.11,2022-2023,4th,,28000,,1000
Loyola University Chicago (LUC),Clinical psychology ,28000,1.15,2022-2023,1st,,28000,,
Loyola University Chicago (LUC),Religion ,28000,1.15,2022-2023,1st,,28000,,
Loyola University Chicago (LUC),counseling ,28000,1.15,2020-2021,,28000,,,
Loyola University Chicago (LUC),English PhD,27800,1.15,2021-2022,,,28000,,200
Loyola University Chicago (LUC),Psychology,15500,0.71,2011-2012,,,16000,,500
Loyola University Chicago (LUC),,39445,1.63,2020-2021,1st,45000,,,5555
Loyola University Chicago (LUC),Philosophy,27850,1.15,2021-2022,3rd,,28000,,150
Loyola University Chicago (LUC),Philosophy,18200,0.75,2020-2021,2nd,,18500,,300
Loyola University Chicago (LUC),College of Education,16000,0.73,2014-2015,3rd,,12000,4000,
Loyola University Chicago (LUC),Neuroscience,29476,1.21,2018-2019,2nd,30000,,,524
Loyola University Chicago (LUC),IPBS,28800,1.19,2018-2019,1st,30000,,,1200
Loyola University Chicago (LUC),Theology/Theology,18000,0.74,2018-2019,,,18500,,500
Loyola University Chicago (LUC),Biomedical Sciences,30000,1.24,2019-2020,1st,30000,,,
Loyola University Chicago (LUC),IPBS,27800,1.15,2018-2019,1st,29000,,,1200
Loyola University Chicago (LUC),IPBS - Pharmacology,30000,1.24,2018-2019,2nd,30000,,,
Loyola University Chicago (LUC),Political Science,17530,0.72,2018-2019,,,18000,,470
Loyola University Chicago (LUC),English,20000,0.82,2016-2017,1st,20000,,,
Loyola University Chicago (LUC),pharmacology,26500,1.09,2016-2017,5th,27000,,,500
Loyola University Chicago (LUC),Cellular and Molecular Physiology,26500,1.09,2017-2018,2nd,27000,,,500
Loyola University Chicago (LUC),chemistry,30000,1.24,2016-2017,1st,30000,,,
Loyola University Chicago (LUC),English,18000,0.74,2016-2017,1st,,18000,,
Loyola University Chicago (LUC),English,16500,0.68,2016-2017,,16500,,,
Loyola University Chicago (LUC),Chemistry,26727,1.1,2016-2017,1st,27000,,,273
Lund University,Biology,1815,,2017-2018,3rd,1815,,,
Maastricht University,Full time UNU MERIT,1500,,2022-2023,1st,1500,,,
Makerere University,Electrical Engineering,7000,,2018-2019,,7000,,,
Makerere University ,Department of Agricultural Production ,500,,2022-2023,1st,1500,,,1000
Marquette University,Theology,20000,0.93,2022-2023,2nd,,20000,,
Marquette University,Civil Construction Environment Engineering ,26557,1.24,2022-2023,3rd,26557,,,
Marquette University,Theology,20000,0.93,2021-2022,1st,,20000,,
Marquette University,,25000,1.16,2020-2021,,25000,,,
Marquette University,Religious Studies,20000,0.93,2020-2021,1st,20000,,,
Marquette University,Chemistry,26000,1.21,2020-2021,1st,26000,,,
Marquette University,Theology,20000,0.93,2020-2021,4th,,20000,,
Marquette University,philosphy,16900,0.79,2020-2021,6th and up,,17100,,200
Marquette University,Engineering,24000,1.12,2017-2018,2nd,24000,,,
Marquette University,Biological Sciences.,25500,1.19,2019-2020,4th,,22000,3500,
Marquette University,Civil Engineering,22150,1.03,2018-2019,2nd,23500,,,1350
Marquette University,Biological Sciences,28506,1.33,2017-2018,2nd,28606,,,100
Marquette University,Biomedical Engineering,21000,0.98,2017-2018,1st,,21000,,
Marquette University,English,14110,0.66,2016-2017,1st,14110,,,
Marquette University,Religious Studies,4500,0.23,2011-2012,1st,,,4500,
Marshall University,Biomedical Sciences,24455,1.27,2015-2016,1st,25000,,,545
Massachusetts College of Pharmacy and Health Sciences,PHARMACEUTICAL SCIENCES,21000,0.73,2017-2018,2nd,,17000,6000,2000
Massachusetts College of Pharmacy and Health Sciences,Pharmacology,23750,0.83,2016-2017,,,17500,6250,
Massachusetts Institute of Technology (MIT),Chemistry ,49300,1.77,2024-2025,1st,49500,,,200
Massachusetts Institute of Technology (MIT),,2000,,2022-2023,5th,2000,,,
Massachusetts Institute of Technology (MIT),Economics,54210,1.94,2024-2025,1st,54210,,,
Massachusetts Institute of Technology (MIT),Political Science,42694,1.53,2023-2024,4th,43294,,,600
Massachusetts Institute of Technology (MIT),Chemistry,37206,1.33,2024-2025,1st,,37206,,
Massachusetts Institute of Technology (MIT),Finance,56000,2.01,2024-2025,,56000,,,
Massachusetts Institute of Technology (MIT),Aero,40000,1.43,2024-2025,1st,40000,,,
Massachusetts Institute of Technology (MIT),ORC,35000,1.25,2023-2024,1st,,35000,,
Massachusetts Institute of Technology (MIT),Sloan School of Management,55848,2,2024-2025,1st,55848,,,
Massachusetts Institute of Technology (MIT),Engineering,49500,1.77,2024-2025,4th,500,,,50000
Massachusetts Institute of Technology (MIT),Sloan School of Management ,56000,2.01,2023-2024,1st,56000,,,
Massachusetts Institute of Technology (MIT),Physics,46900,1.68,2022-2023,1st,46900,,,
Massachusetts Institute of Technology (MIT),Bioengineering ,49500,1.77,2022-2023,5th,49800,,,300
Massachusetts Institute of Technology (MIT),Chemical Engineering,51300,1.84,2022-2023,4th,51300,,,
Massachusetts Institute of Technology (MIT),Biology,45100,,2022-2023,,45500,,,400
Massachusetts Institute of Technology (MIT),Physics,56000,2.01,2022-2023,2nd,105000,,,49000
Massachusetts Institute of Technology (MIT),Health Sciences and Technology ,47600,1.7,2022-2023,3rd,48000,,,400
Massachusetts Institute of Technology (MIT),Sloan ,53508,1.92,2023-2024,1st,53508,,,
Massachusetts Institute of Technology (MIT),MIT Media Lab,47436,1.7,2022-2023,3rd,47436,,,
Massachusetts Institute of Technology (MIT),Mechanical Engineering,45480,1.63,2022-2023,1st,45480,,,
Massachusetts Institute of Technology (MIT),Biology,45506,1.63,2022-2023,1st,45506,,,
Massachusetts Institute of Technology (MIT),Finance (Sloan),50000,1.79,2022-2023,1st,50000,,,
Massachusetts Institute of Technology (MIT),AeroAstro,41856,1.5,2022-2023,3rd,41856,,,
Massachusetts Institute of Technology (MIT),Chemistry ,45000,1.61,2022-2023,4th,45000,,,
Massachusetts Institute of Technology (MIT),Civil and Environmental Engineering,42820,1.53,2021-2022,3rd,43200,,,380
Massachusetts Institute of Technology (MIT),Electrical Engineering and Computer Science,47044,1.68,2021-2022,5th,47412,,,368
Massachusetts Institute of Technology (MIT),NSE,43000,1.54,2021-2022,5th,43000,,,
Massachusetts Institute of Technology (MIT),HASTS,43116,1.54,2021-2022,,43116,,,
Massachusetts Institute of Technology (MIT),,41670,1.49,2022-2023,6th and up,41856,,,186
Massachusetts Institute of Technology (MIT),Chemical engineering,58000,2.08,2020-2021,2nd,58000,,,
Massachusetts Institute of Technology (MIT),Biological Engineering,44700,1.6,2020-2021,5th,45000,,,300
Massachusetts Institute of Technology (MIT),Media Lab,38872,1.39,2021-2022,1st,39000,,,128
Massachusetts Institute of Technology (MIT),Economics,35181,1.26,2020-2021,2nd,,35521,,340
Massachusetts Institute of Technology (MIT),Linguistics,43111,1.54,2021-2022,5th,43111,,,
Massachusetts Institute of Technology (MIT),Chemical Engineering,45000,1.61,2021-2022,3rd,45000,,,
Massachusetts Institute of Technology (MIT),CEE,40700,1.46,2020-2021,4th,41000,,,300
Massachusetts Institute of Technology (MIT),Biological Engineering ,46165,1.65,2020-2021,4th,46350,,,185
Massachusetts Institute of Technology (MIT),Biology,42927,1.54,2021-2022,2nd,43111,,,184
Massachusetts Institute of Technology (MIT),Brain and Cognitive Sciences,43600,1.56,2021-2022,6th and up,44000,,,400
Massachusetts Institute of Technology (MIT),AeroAstro,37732,1.35,2020-2021,3rd,38232,,,500
Massachusetts Institute of Technology (MIT),Brain and Cognitive Sciences,43913,1.57,2021-2022,5th,44093,,,180
Massachusetts Institute of Technology (MIT),Biology ,40632,1.45,2020-2021,4th,41000,,,368
Massachusetts Institute of Technology (MIT),EECS,45650,1.63,2020-2021,,46000,,,350
Massachusetts Institute of Technology (MIT),Pfd,3000,0.11,2021-2022,5th,12000,,,9000
Massachusetts Institute of Technology (MIT),Economics,34830,1.25,2020-2021,4th,,35000,,170
Massachusetts Institute of Technology (MIT),Brain and Cognitive Sciences,42500,1.52,2020-2021,6th and up,42800,,,300
Massachusetts Institute of Technology (MIT),Management/PhD,48324,1.73,2021-2022,1st,48324,,,
